CUDIS,COD_POSTAL,Connection_order,Percentage_overlap
2807901,28004,1,22.684621671783393
2807901,28013,2,19.442787732129634
2807901,28012,3,18.425787108561188
2807901,28005,4,18.131429352890475
2807901,28014,5,10.32354117757804
2807901,28015,6,8.458293709222028
2807902,28045,1,60.7803080042079
2807902,28005,2,30.49516438045261
2807902,28012,3,3.5343600302449216
2807902,28007,4,2.572966323512118
2807902,28026,5,1.7820689637937557
2807902,28053,6,0.7259612065047627
2807903,28007,1,48.01184296076847
2807903,28009,2,37.136583927201876
2807903,28014,3,14.495026717683421
2807903,28001,4,0.18219835272576634
2807903,28030,5,0.06668334334968389
2807903,28045,6,0.056827146635063525
2807904,28028,1,46.05061959432643
2807904,28006,2,22.532799749509973
2807904,28001,3,20.382633634907997
2807904,28009,4,8.669004917505928
2807904,28046,5,1.703675400823907
2807904,28007,6,0.3374461567740503
2807905,28002,1,28.555961833434473
2807905,28036,2,28.080561101372147
2807905,28016,3,27.14693072334777
2807905,28046,4,9.114914323423601
2807905,28006,5,6.97456239025807
2807905,28033,6,0.050830257829261004
2807906,28039,1,34.527350991070485
2807906,28020,2,31.278614698772312
2807906,28029,3,27.559869534080622
2807906,28046,4,5.878340357759524
2807906,28003,5,0.7351360699677996
2807906,28040,6,0.02068834834915113
2807907,28003,1,43.44261314057049
2807907,28010,2,29.483721442641013
2807907,28015,3,22.860274340988454
2807907,28046,4,2.931796858528632
2807907,28004,5,0.6643732974097053
2807907,28040,6,0.44774339703239463
2807908,28048,1,63.34361881336118
2807908,28049,2,25.72020098024428
2807908,28035,3,3.212728726870543
2807908,28034,4,3.1142661181654896
2807908,28050,5,2.1490385988629823
2807908,28023,6,1.3251236832352207
2807909,28023,1,32.24575633031557
2807909,28011,2,31.8354826219476
2807909,28040,3,17.43095268699677
2807909,28035,4,10.656502178020197
2807909,28008,5,5.593898006881001
2807909,28039,6,2.1231155277483733
2807910,28024,1,44.35129282965056
2807910,28054,2,19.688435995732906
2807910,28047,3,13.66029354179273
2807910,28044,4,11.557329962874702
2807910,28011,5,10.657920512410502
2807910,28019,6,0.07556189808039959
2807911,28054,1,28.190581665664627
2807911,28025,2,27.86055008955037
2807911,28019,3,25.5916493978732
2807911,28044,4,12.445565465383526
2807911,28047,5,5.311622553413118
2807911,28041,6,0.30308812706202537
2807912,28041,1,54.67434317742925
2807912,28026,2,45.26724337099069
2807912,28025,3,0.04951748439497519
2807912,28019,4,0.00889596718548267
2807912,,5,0.0
2807912,,6,0.0
2807913,28053,1,35.63621097351095
2807913,28038,2,22.58128911936546
2807913,28018,3,21.10688400427381
2807913,28045,4,7.1505263008527855
2807913,28031,5,6.083018863646434
2807913,28030,6,3.5291357265997467
2807914,28030,1,99.96151354101767
2807914,28017,2,0.029114480201801338
2807914,28032,3,0.0072978445313844394
2807914,28007,4,0.002074134247734401
2807914,,5,0.0
2807914,,6,0.0
2807915,28017,1,43.144093989511866
2807915,28027,2,23.627680259832687
2807915,28033,3,15.315672007095053
2807915,28043,4,13.011386588263429
2807915,28032,5,2.603900309599815
2807915,28030,6,1.2406539135430767
2807916,28055,1,39.47032199682132
2807916,28043,2,22.121921150589365
2807916,28050,3,18.23349382540336
2807916,28033,4,15.632149737501155
2807916,28042,5,4.448171300892883
2807916,28027,6,0.08082889972498025
2807917,28021,1,82.34788884481804
2807917,28041,2,17.409900026518844
2807917,28051,3,0.2395633029618815
2807917,,4,0.0
2807917,,5,0.0
2807917,,6,0.0
2807918,28051,1,83.58883858566581
2807918,28031,2,11.118973962216153
2807918,28053,3,4.836713063605149
2807918,28021,4,0.4044138834231598
2807918,28032,5,0.04732996642730062
2807918,28041,6,0.002877689981486709
2807919,28052,1,54.60068530731698
2807919,28031,2,22.446842088999773
2807919,28032,3,19.07204956918977
2807919,28051,4,3.694073471745719
2807919,28030,5,0.1861772558400399
2807919,,6,0.0
2807920,28022,1,54.58116510389479
2807920,28032,2,19.81790679633745
2807920,28037,3,17.01592489061559
2807920,28027,4,8.392079139823284
2807920,28042,5,0.181455431020546
2807920,28043,6,0.011222957621267935
2807921,28042,1,93.26989228443007
2807921,28055,2,6.221837075345014
2807921,28043,3,0.27525644142038663
2807921,28022,4,0.22729143688480932
2807921,28033,5,0.0053968124155598825
2807921,,6,0.0
